track_id,title,artist,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mbti
78j9wYboWAkB0UxVVq0X0H,Painkiller,Beach Bunny,https://i.scdn.co/image/ab67616d0000b2730ec9ae111708f4b8be932d8b,0.371,0.778,4,22.031,1,0.0497,0.000272,0.000311,0.169,0.482,122.719,enfp
77G0k1La0c5Dw8bAFANcyp,Sports,Beach Bunny,https://i.scdn.co/image/ab67616d0000b273cd8c5684a88874b97247fa4a,0.231,0.877,9,24.722,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,enfp
01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,https://i.scdn.co/image/ab67616d0000b27340faefaf8ebe0e1564c60faa,0.791,0.267,5,18.003,1,0.0415,0.674,0.534,0.102,0.544,165.99,enfp
0Z0iYAtKYswMYXL3kJtdO4,Chasin' Honey,Wild Party,https://i.scdn.co/image/ab67616d0000b273b2b05168e86b0af78ede0d97,0.526,0.637,7,24.948,1,0.0656,0.02,1.25e-06,0.0978,0.765,176.1,enfp
6H3vlGfkDO5M2WTDMNbdoI,Junior Varsity,Dayglow,https://i.scdn.co/image/ab67616d0000b273ccd63af052f7e438c05f6c94,0.263,0.521,8,21.978,1,0.0465,0.0835,0.0474,0.0891,0.263,74.983,enfp
0DRvClQbN9znQ295sx76VC,Dreams Tonite,Alvvays,https://i.scdn.co/image/ab67616d0000b273b0a48655a55e6d5b499e3d92,0.51,0.622,2,24.273,1,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,enfp
1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,girl in red,https://i.scdn.co/image/ab67616d0000b273eb13fbc012815ea6e834e842,0.566,0.366,7,17.192,1,0.028,0.113,0.181,0.155,0.237,129.959,enfp
19C3dH0RpMnYyp2yWwBaZb,Walk You Home,Sir Chloe,https://i.scdn.co/image/ab67616d0000b273f0a623e49cbfc1c664efd4b6,0.374,0.609,0,24.73,0,0.0473,0.289,0.000157,0.175,0.501,155.227,enfp
45ROR8UMn60YEVQnDy0uVF,Juliet,Cavetown,https://i.scdn.co/image/ab67616d0000b27317add53ee7ef16ac10e6f8a9,0.546,0.586,6,21.512,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,enfp
6Py8QOQ4I1286xM9KncPQ4,Lvr Boy,awfultune,https://i.scdn.co/image/ab67616d0000b27389f4b2f72ffa95acb221a64a,0.498,0.0283,6,4.978999999999999,1,0.0427,0.949,1.76e-06,0.251,0.0653,85.473,enfp
