_id,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,type,valence
61b1eeb32dde1bd4a713025b,0.000837,0.673,0.637,0XVoD3TmJVEYdRzZoe0Ewy,0.846,11,0.16,-8.022,0,0.28,110.01,audio_features,0.592
61b1eeb32dde1bd4a713025c,0.0413,0.431,0.962,70uQzsAyJ1vmloywhrO0ss,0.000211,4,0.124,-7.216,1,0.182,179.683,audio_features,0.75
61b1eeb32dde1bd4a713025d,0.246,0.846,0.364,3WmgMoWZ1E5yNyn2aUzWAr,0.011,1,0.0902,-7.328,1,0.0602,79.927,audio_features,0.682
61b1eeb32dde1bd4a713025e,0.179,0.701,0.692,69Tf2qK9sYOi1ncnXrfIUV,0.0101,0,0.0994,-7.527,1,0.0374,114.987,audio_features,0.56
61b1eeb32dde1bd4a713025f,0.931,0.814,0.484,2zmo93xTzKTP0lztR9iy9H,0.0000535,6,0.117,-10.962,1,0.299,116.024,audio_features,0.658
61b1eeb32dde1bd4a7130260,0.00181,0.174,0.742,2enPRFda84VE2wtI8c86Uf,0.281,8,0.198,-5.93,1,0.0485,163.378,audio_features,0.36
61b1eeb32dde1bd4a7130261,0.542,0.404,0.664,1NZs6n6hl8UuMaX0UC0YTz,0.00402,1,0.11,-6.698,1,0.0407,107.747,audio_features,0.0949
61b1eeb32dde1bd4a7130262,0.00161,0.614,0.937,7bCfHiRcfUjG0YVVNUL7Ve,0.00136,1,0.103,-7.443,1,0.115,84.98,audio_features,0.386
61b1eeb32dde1bd4a7130263,0.566,0.674,0.537,2SpEHTbUuebeLkgs9QB7Ue,0,1,0.131,-10.971,0,0.0363,110.578,audio_features,0.809
61b1eeb32dde1bd4a7130264,0.00301,0.471,0.924,2iUmqdfGZcHIhS3b9E9EWq,0,8,0.313,-3.906,1,0.0586,154.961,audio_features,0.725
61b1eeb32dde1bd4a7130265,0.0392,0.67,0.843,6kcHg7XL6SKyPNd78daRBL,0,1,0.225,-4.311,1,0.0454,117.01,audio_features,0.713
61b1eeb32dde1bd4a7130266,0.0142,0.69,0.897,2Ow4Pmi0VOOLvbmJ8V70qo,0,11,0.108,-4.696,0,0.0506,140.05,audio_features,0.849
61b1eeb32dde1bd4a7130267,0.223,0.815,0.518,1tNJrcVe6gwLEiZCtprs1u,0,7,0.104,-6.594,0,0.0897,151.891,audio_features,0.877
61b1eeb32dde1bd4a7130268,0.00981,0.629,0.692,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,0.0376,162.948,audio_features,0.453
61b1eeb32dde1bd4a7130269,0.00947,0.598,0.888,4djIFfof5TpbSGRZUpsTXq,0,4,0.347,-5.119,1,0.0807,103.966,audio_features,0.482
61b1eeb32dde1bd4a713026a,0.0202,0.579,0.558,2LdG9xtEzCho3jCr58M6cq,0.00000126,2,0.212,-6.986,1,0.0895,179.949,audio_features,0.506
61b1eeb32dde1bd4a713026b,0.000219,0.495,0.856,6IbnUaczZBT34DhaD6S18F,0,0,0.103,-5.123,0,0.0311,158.024,audio_features,0.609
61b1eeb32dde1bd4a713026c,0.0371,0.764,0.705,0y60itmpH0aPKsFiGxmtnh,0.0000194,3,0.0943,-5.279,0,0.0278,101.003,audio_features,0.672
61b1eeb32dde1bd4a713026d,0.107,0.736,0.669,1xNknVNOolLB4oQeEtNBX2,0,1,0.224,-8.305,1,0.136,86.531,audio_features,0.797
61b1eeb32dde1bd4a713026e,0.0398,0.655,0.668,4gZDCOFuLCxCRWNhSEcOtJ,0.0302,0,0.0759,-6.733,1,0.0272,93.003,audio_features,0.867
61b1eeb32dde1bd4a713026f,0.658,0.979,0.41,7CCCX50zGHMTuHsyKQy03l,0.0000342,8,0.205,-11.056,0,0.112,119.971,audio_features,0.74
61b1eeb32dde1bd4a7130270,0.0884,0.66,0.689,4sOX1nhpKwFWPvoMMExi3q,0,4,0.0922,-2.671,0,0.0337,127.98,audio_features,0.427
61b1eeb32dde1bd4a7130271,0.00064,0.375,0.93,33SNO8AaciGbNaQFkxvPrW,0,2,0.318,-2.631,1,0.0561,147.124,audio_features,0.491
61b1eeb32dde1bd4a7130272,0.276,0.595,0.696,2vtmY2mSccRzKGjtcHSzI3,0,10,0.411,-5.921,0,0.0417,88.013,audio_features,0.533
61b1eeb32dde1bd4a7130273,0.612,0.68,0.729,4DpNNXFMMxQEKl7r0ykkWA,0,5,0.224,-5.077,1,0.0475,123.97,audio_features,0.446
61b1eeb32dde1bd4a7130274,0.309,0.827,0.58,266Vb7ItE3o1q8HdJ9QOvn,0,7,0.148,-6.809,1,0.327,78.011,audio_features,0.492
61b1eeb32dde1bd4a7130275,0.901,0.675,0.408,0mr8FAnN9X70p5KRUwMIJx,0.000714,0,0.16,-10.861,1,0.142,90.111,audio_features,0.229
61b1eeb32dde1bd4a7130276,0.163,0.678,0.431,6uaBrivDHCaV0uBTiwHTUi,0.00000194,0,0.147,-6.749,1,0.0326,90.941,audio_features,0.404
61b1eeb32dde1bd4a7130277,0.0301,0.606,0.62,1qwno7xb5mJe71xtMS6jl2,0.0916,0,0.167,-5.005,1,0.0298,88.984,audio_features,0.543
61b1eeb52dde1bd4a7130278,0.00522,0.683,0.814,1kTZ1aERsOBTrihsDdGFNn,0.0131,5,0.33,-5.17,0,0.251,159.96,audio_features,0.81
61b1eeb52dde1bd4a7130279,0.741,0.486,0.921,2ZMxeRHTaoH1GgYAv16QyB,0,2,0.0772,-5.221,1,0.101,112.555,audio_features,0.581
61b1eeb52dde1bd4a713027a,0.0243,0.629,0.889,0YKPrW5i0gcJ9e5GNSAQti,0.00109,11,0.0984,-3.573,1,0.0984,125.144,audio_features,0.702
61b1eeb52dde1bd4a713027b,0.0927,0.721,0.405,0A64VlPLZuN4VWy1BJwY5n,0.467,10,0.0812,-15.397,1,0.0305,161.932,audio_features,0.862
