_id,album.artists,album.images,album.release_date,id,name,popularity,type
61b1eeb92dde1bd4a713047e,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7cvljqLNhWNFMb8wP2NImJ""},""href"":""https://api.spotify.com/v1/artists/7cvljqLNhWNFMb8wP2NImJ"",""id"":""7cvljqLNhWNFMb8wP2NImJ"",""name"":""Moe Shop"",""type"":""artist"",""uri"":""spotify:artist:7cvljqLNhWNFMb8wP2NImJ""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2733ce297024e95a72f027c5d14"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e023ce297024e95a72f027c5d14"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048513ce297024e95a72f027c5d14"",""width"":64}]",2016-05-22,0XVoD3TmJVEYdRzZoe0Ewy,Love Taste,69,esfp
61b1eeb92dde1bd4a713047f,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7s3OoIocX1gTOnEvCg2VV8""},""href"":""https://api.spotify.com/v1/artists/7s3OoIocX1gTOnEvCg2VV8"",""id"":""7s3OoIocX1gTOnEvCg2VV8"",""name"":""McCafferty"",""type"":""artist"",""uri"":""spotify:artist:7s3OoIocX1gTOnEvCg2VV8""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273e993692743470c7ed913c2f7"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02e993692743470c7ed913c2f7"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851e993692743470c7ed913c2f7"",""width"":64}]",2014-01-01,70uQzsAyJ1vmloywhrO0ss,Beachboy,69,esfp
61b1eeb92dde1bd4a7130480,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0JDVDA5aG4Y2wXylqghzC6""},""href"":""https://api.spotify.com/v1/artists/0JDVDA5aG4Y2wXylqghzC6"",""id"":""0JDVDA5aG4Y2wXylqghzC6"",""name"":""LoveLeo"",""type"":""artist"",""uri"":""spotify:artist:0JDVDA5aG4Y2wXylqghzC6""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27334d3849cf39cd99ce2a27b8b"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0234d3849cf39cd99ce2a27b8b"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485134d3849cf39cd99ce2a27b8b"",""width"":64}]",2020-01-10,3WmgMoWZ1E5yNyn2aUzWAr,BOYFREN,65,esfp
61b1eeb92dde1bd4a7130481,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6AQEfqGPSxZX0nJVonYxi6""},""href"":""https://api.spotify.com/v1/artists/6AQEfqGPSxZX0nJVonYxi6"",""id"":""6AQEfqGPSxZX0nJVonYxi6"",""name"":""Inner Wave"",""type"":""artist"",""uri"":""spotify:artist:6AQEfqGPSxZX0nJVonYxi6""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27361e491f9bbbc1b63fa8fdf19"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0261e491f9bbbc1b63fa8fdf19"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485161e491f9bbbc1b63fa8fdf19"",""width"":64}]",2014-08-25,69Tf2qK9sYOi1ncnXrfIUV,1 4 2,63,esfp
61b1eeb92dde1bd4a7130482,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1yNIb413Bmfs2ZBVuPp9kC""},""href"":""https://api.spotify.com/v1/artists/1yNIb413Bmfs2ZBVuPp9kC"",""id"":""1yNIb413Bmfs2ZBVuPp9kC"",""name"":""Jack Stauber's Micropop"",""type"":""artist"",""uri"":""spotify:artist:1yNIb413Bmfs2ZBVuPp9kC""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27348cc1333d5c15fbf25f7c49d"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0248cc1333d5c15fbf25f7c49d"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485148cc1333d5c15fbf25f7c49d"",""width"":64}]",2020-03-08,2zmo93xTzKTP0lztR9iy9H,Coffee,70,esfp
61b1eeb92dde1bd4a7130483,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3Oim8XBPbznAa8Jj8QzNc8""},""href"":""https://api.spotify.com/v1/artists/3Oim8XBPbznAa8Jj8QzNc8"",""id"":""3Oim8XBPbznAa8Jj8QzNc8"",""name"":""Cults"",""type"":""artist"",""uri"":""spotify:artist:3Oim8XBPbznAa8Jj8QzNc8""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273bb2c501e91fd02780cd332c6"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02bb2c501e91fd02780cd332c6"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851bb2c501e91fd02780cd332c6"",""width"":64}]",2013-10-15,2enPRFda84VE2wtI8c86Uf,Always Forever,82,esfp
61b1eeb92dde1bd4a7130484,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa""},""href"":""https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa"",""id"":""00FQb4jTyendYWaN8pK0wa"",""name"":""Lana Del Rey"",""type"":""artist"",""uri"":""spotify:artist:00FQb4jTyendYWaN8pK0wa""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e021624590458126fc8b8c64c2f"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f"",""width"":64}]",2014-01-01,1NZs6n6hl8UuMaX0UC0YTz,Brooklyn Baby,79,esfp
61b1eeb92dde1bd4a7130485,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7yntSJ6uojO3z6GFUVwhAW""},""href"":""https://api.spotify.com/v1/artists/7yntSJ6uojO3z6GFUVwhAW"",""id"":""7yntSJ6uojO3z6GFUVwhAW"",""name"":""CORPSE"",""type"":""artist"",""uri"":""spotify:artist:7yntSJ6uojO3z6GFUVwhAW""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0x7qiZJaal6j8qS7yCydFk""},""href"":""https://api.spotify.com/v1/artists/0x7qiZJaal6j8qS7yCydFk"",""id"":""0x7qiZJaal6j8qS7yCydFk"",""name"":""Savage Ga$p"",""type"":""artist"",""uri"":""spotify:artist:0x7qiZJaal6j8qS7yCydFk""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2733cfbb809971b6da51daf254e"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e023cfbb809971b6da51daf254e"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048513cfbb809971b6da51daf254e"",""width"":64}]",2020-09-25,7bCfHiRcfUjG0YVVNUL7Ve,E-GIRLS ARE RUINING MY LIFE!,78,esfp
61b1eeb92dde1bd4a7130486,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU""},""href"":""https://api.spotify.com/v1/artists/32vWCbZh0xZ4o9gkz4PsEU"",""id"":""32vWCbZh0xZ4o9gkz4PsEU"",""name"":""Dolly Parton"",""type"":""artist"",""uri"":""spotify:artist:32vWCbZh0xZ4o9gkz4PsEU""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27326399936751b54c7e9782324"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0226399936751b54c7e9782324"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485126399936751b54c7e9782324"",""width"":64}]",1974-02-04,2SpEHTbUuebeLkgs9QB7Ue,Jolene,74,esfp
61b1eeb92dde1bd4a7130487,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0RpddSzUHfncUWNJXKOsjy""},""href"":""https://api.spotify.com/v1/artists/0RpddSzUHfncUWNJXKOsjy"",""id"":""0RpddSzUHfncUWNJXKOsjy"",""name"":""Neon Trees"",""type"":""artist"",""uri"":""spotify:artist:0RpddSzUHfncUWNJXKOsjy""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e024a6c0376235e5aa44e59d2c2"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048514a6c0376235e5aa44e59d2c2"",""width"":64}]",2012-01-01,2iUmqdfGZcHIhS3b9E9EWq,Everybody Talks,82,esfp
